# Total of 316 particles
# Generated on : 2016-10-09 18:08:32.962659
keys: id  type radius  x   y   z   vx   vy   vz   nx   ny   nz
78  1  0.50 7.391068  3.847626  5.528822  -0.317298  0.922906  -0.218098  -0.274746  -0.577216  0.768984
79  1  0.50 1.448995  5.972306  7.888725  -0.141227  0.801607  -0.580931  0.709785  -0.618217  0.337660
80  1  0.50 -7.886428  -5.764340  2.139306  0.614098  -0.755680  0.227664  0.199521  0.089184  0.975827
81  1  0.50 9.398877  1.024373  -3.257573  -0.079154  -0.862613  -0.499634  0.334937  -0.090638  0.937871
82  1  0.50 1.954079  -1.926302  -9.616181  -0.890032  0.376979  -0.256377  -0.723185  -0.690600  -0.008616
83  1  0.50 9.086614  -3.320246  2.531683  0.268220  -0.000512  -0.963357  0.416090  0.669688  -0.615132
84  1  0.50 -7.358132  6.480944  -1.963479  -0.289459  -0.563133  -0.774012  0.670200  0.655405  -0.348248
85  1  0.50 -1.703853  -8.650548  -4.718570  0.160453  0.448111  -0.879461  -0.851282  -0.111948  0.512628
86  1  0.50 4.375455  3.213832  8.398016  0.566576  0.626693  -0.535021  -0.616578  -0.572574  0.540362
87  1  0.50 7.731027  5.946912  2.205780  0.315050  -0.661864  0.680206  0.478740  -0.775223  0.412112
88  1  0.50 -1.307403  -6.685365  -7.320969  0.436848  0.624038  -0.647873  -0.924686  0.348562  -0.153166
89  1  0.50 -8.923068  2.873446  3.481690  -0.296733  -0.954569  0.027323  0.414713  0.826452  0.380775
90  1  0.50 9.950869  -0.391589  -0.909322  0.014778  -0.849422  0.527507  -0.035178  -0.998369  0.044975
91  1  0.50 -7.035661  1.097550  7.021030  -0.710471  -0.129516  -0.691705  0.420448  0.860809  0.286760
92  1  0.50 3.609185  -3.951966  -8.447233  0.911819  0.339671  0.230674  0.740859  0.671657  0.002312
93  1  0.50 9.314472  1.097048  3.469451  0.350434  -0.527214  -0.774107  -0.227505  0.919706  0.319973
94  1  0.50 -6.420156  3.697143  6.716601  0.181732  0.924468  -0.335160  -0.519258  -0.854218  -0.026137
95  1  0.50 -5.029691  8.410763  1.990296  0.858627  0.512587  0.003709  0.834687  0.412914  0.364417
96  1  0.50 -0.520918  -2.329316  9.710970  0.998501  0.004234  0.054578  -0.457298  -0.858909  -0.230552
97  1  0.50 3.509737  5.777083  7.369332  -0.759368  -0.284876  0.584983  -0.810547  0.581497  -0.069823
98  1  0.50 -2.337970  -4.454531  8.642399  -0.516633  -0.696091  -0.498546  -0.867259  0.497381  0.021750
99  1  0.50 2.686223  9.000077  3.432611  -0.444817  0.431990  -0.784553  -0.415900  -0.213061  0.884099
100  1  0.50 -4.469485  8.221354  3.526053  0.893276  0.431283  0.126701  0.261824  0.497129  -0.827231
101  1  0.50 0.008224  -7.237107  -6.901030  -0.952006  0.210658  -0.222052  -0.691901  0.497837  -0.522906
102  1  0.50 6.850700  7.275924  0.358943  0.724068  -0.674683  -0.143279  -0.352724  0.374415  -0.857554
103  1  0.50 -6.361089  4.842227  -6.007444  0.315809  -0.546983  -0.775290  0.080555  -0.732640  -0.675832
104  1  0.50 -6.746932  4.635908  -5.743455  0.717224  0.595534  -0.361842  0.273760  -0.565465  -0.778013
105  1  0.50 2.306810  -5.204887  8.221179  -0.159588  0.813226  0.559639  0.828450  -0.338089  -0.446505
106  1  0.50 -2.994205  -9.122196  -2.796475  -0.866335  0.137130  0.480269  0.554454  0.072170  -0.829079
107  1  0.50 6.226446  -7.638033  -1.700534  0.716438  0.469054  0.516434  -0.696774  -0.442275  -0.564712
108  1  0.50 -1.496438  1.093584  9.826736  0.036633  0.993795  -0.105017  -0.273741  0.950433  -0.147456
109  1  0.50 -3.716689  -8.939541  -2.504162  -0.887575  0.263089  0.378147  0.915812  -0.397261  0.058918
110  1  0.50 -4.732638  5.536044  6.852325  -0.656908  0.296483  -0.693232  -0.649627  -0.744703  0.152979
111  1  0.50 -4.797513  -4.011590  -7.803269  0.407203  0.685980  -0.603007  -0.312441  -0.752951  0.579177
112  1  0.50 -6.999156  -4.015810  -5.906359  -0.559097  0.822654  0.103208  0.572408  -0.809980  -0.127599
113  1  0.50 7.778712  -2.641252  -5.702231  0.268883  0.960019  -0.077880  0.244779  0.963068  -0.112174
114  1  0.50 8.946395  1.003162  4.353812  -0.061634  -0.937441  0.342644  -0.438573  0.383188  0.812908
115  1  0.50 4.486492  8.828369  1.389707  0.875393  -0.402790  -0.267297  0.751967  -0.456936  0.475137
116  1  0.50 2.662462  4.171767  8.689514  0.909898  -0.406293  -0.083734  0.167973  0.867617  -0.468003
117  1  0.50 6.008917  -2.578200  -7.566096  0.593553  0.777900  0.206319  0.299056  -0.805298  0.511918
118  1  0.50 5.166649  -4.042016  7.547705  -0.486147  0.587162  0.647226  -0.094960  -0.903162  -0.418667
119  1  0.50 -4.310348  -7.595530  -4.871225  0.452942  0.284778  -0.844834  -0.895031  0.291343  0.337696
120  1  0.50 -8.430129  4.442671  3.032424  0.497240  0.428649  0.754329  -0.062781  0.478639  -0.875765
121  1  0.50 1.524014  -0.873009  -9.844554  0.983879  -0.080904  0.159487  -0.605527  0.778991  -0.162821
122  1  0.50 1.177972  9.264760  3.574438  0.477180  0.262859  -0.838573  -0.676597  -0.188591  0.711793
123  1  0.50 6.062588  -6.120253  5.078142  0.790983  0.397862  -0.464813  0.664751  0.740498  0.098840
124  1  0.50 3.393997  -7.282937  -5.953118  0.770822  -0.147383  0.619768  -0.923922  -0.376906  -0.065647
125  1  0.50 8.843605  -4.341351  1.715613  0.175416  0.649653  0.739716  0.461506  0.757915  -0.461060
126  1  0.50 -8.135047  -2.416444  -5.289783  0.573802  -0.481573  -0.662449  -0.388695  -0.450657  0.803632
127  1  0.50 -1.250668  -6.777981  7.245329  -0.033574  -0.726957  -0.685862  -0.989474  0.031627  -0.141213
128  1  0.50 9.650508  2.487458  0.824776  -0.144074  0.240698  0.959847  0.251710  -0.792237  -0.555880
129  1  0.50 -3.330395  -0.144643  9.428019  0.792878  -0.545452  0.271711  -0.525362  -0.827454  -0.198276
130  1  0.50 0.396205  2.656989  -9.632416  0.999148  -0.021703  0.035111  -0.947850  0.315093  0.047927
131  1  0.50 -9.632916  -0.052533  2.684057  -0.004766  0.999986  0.002467  0.058471  0.971700  0.228866
132  1  0.50 8.475429  -4.665565  -2.529744  -0.320849  -0.070737  -0.944485  0.393459  0.872250  -0.290465
133  1  0.50 -3.555402  0.967031  -9.296449  0.505458  -0.816748  -0.278271  -0.905561  0.210616  0.368238
134  1  0.50 -3.381437  -2.583447  -9.049402  0.387883  -0.914368  0.116098  -0.198498  -0.920371  0.336922
135  1  0.50 -2.043429  -7.720542  6.018108  -0.872244  -0.135454  -0.469939  -0.727279  -0.291761  -0.621241
136  1  0.50 -2.139779  9.667672  -1.399096  0.756527  0.073402  -0.649830  -0.958566  -0.180237  0.220605
137  1  0.50 8.813899  2.309031  4.121112  -0.353164  -0.257303  0.899483  -0.266776  -0.476664  0.837629
138  1  0.50 6.595397  3.145044  -6.827111  -0.625068  -0.274984  -0.730530  -0.246218  0.948543  0.199104
139  1  0.50 -8.757104  4.179324  2.417929  -0.296686  -0.860845  0.413429  -0.460989  -0.574766  -0.676116
140  1  0.50 7.029751  -3.791455  6.017264  0.611784  -0.109095  -0.783466  0.684032  0.128761  -0.717998
141  1  0.50 8.440351  -4.033720  3.534059  -0.150461  -0.810631  -0.565896  0.079807  -0.557174  -0.826552
142  1  0.50 4.153376  -6.865137  5.968196  -0.636278  -0.688131  -0.348750  0.657220  -0.227147  -0.718656
143  1  0.50 5.877588  -2.882531  -7.559430  -0.736459  0.196172  -0.647413  -0.012722  0.930966  -0.364884
144  1  0.50 -3.033153  -3.767429  -8.752512  0.899715  -0.415777  -0.132826  -0.902213  -0.182011  0.391004
145  1  0.50 5.688614  0.884223  -8.176663  0.148625  0.966782  0.207948  0.205141  -0.978035  0.036955
146  1  0.50 -9.108186  -1.605689  3.802987  0.203391  0.627116  0.751903  -0.379946  -0.034116  -0.924379
147  1  0.50 7.479443  -2.785222  -6.024987  -0.645543  -0.516439  -0.562641  -0.409326  -0.908101  -0.088344
148  1  0.50 -6.743731  -6.418414  3.650486  0.645805  -0.752382  -0.129835  -0.737020  0.554998  -0.385719
149  1  0.50 7.977637  3.882624  4.613300  -0.528767  0.818186  0.225782  0.468819  -0.880545  -0.069634
150  1  0.50 -6.508396  -2.185684  7.270733  0.718956  -0.485143  0.497733  -0.758484  0.145162  -0.635319
151  1  0.50 3.187436  9.427745  -0.978709  -0.910262  0.275684  -0.308903  0.789948  -0.321291  -0.522259
152  1  0.50 2.373796  9.606744  -1.440683  0.614966  -0.033809  0.787829  -0.617745  0.263742  0.740832
153  1  0.50 -2.866595  2.084518  -9.350798  0.784537  -0.509103  -0.354000  0.733856  -0.579658  -0.354192
154  1  0.50 3.381040  -6.939943  -6.356553  -0.778973  0.172644  -0.602823  -0.057884  -0.689488  0.721980
155  1  0.50 3.637509  5.434922  7.565061  -0.553542  0.779309  -0.293715  0.782692  -0.618670  0.068126
156  1  0.50 -2.811729  -9.436256  1.746783  -0.950786  0.249227  -0.184097  0.479964  0.019343  0.877075
157  1  0.50 3.343166  -7.246655  -6.025714  0.757490  0.587017  -0.285691  0.066003  -0.619787  0.781989
158  1  0.50 -7.028805  5.536584  4.465661  0.003029  0.630134  -0.776481  -0.701002  -0.645657  -0.302860
159  1  0.50 -8.035263  5.734626  1.596441  -0.575023  -0.817112  0.040946  0.394433  0.713785  -0.578735
160  1  0.50 0.951110  -9.575747  -2.720377  -0.568778  0.172002  -0.804306  -0.413462  0.210590  -0.885833
161  1  0.50 8.988083  -3.312589  -2.870736  -0.436406  -0.737725  -0.515084  0.298693  -0.016482  0.954207
162  1  0.50 -1.505789  -4.353442  -8.875818  -0.462336  -0.762575  0.452466  -0.280757  -0.842020  0.460628
163  1  0.50 5.278855  -7.960286  2.961003  0.507620  0.016200  -0.861429  -0.654492  -0.159085  0.739143
164  1  0.50 0.485386  -5.753068  8.164963  0.314211  -0.767163  -0.559225  -0.423658  0.728423  0.538436
165  1  0.50 -6.188918  1.085408  -7.779408  0.125331  0.991363  0.038611  0.575356  -0.611600  -0.543057
166  1  0.50 -1.514587  -6.548002  7.404708  0.889052  0.237171  0.391581  -0.158728  -0.723280  -0.672065
167  1  0.50 -8.909101  4.065491  -2.024773  0.436214  0.890080  -0.132192  -0.045033  0.364540  0.930098
168  1  0.50 6.140289  -7.886331  0.320371  -0.674398  -0.503132  0.540413  0.715480  0.539016  -0.444467
169  1  0.50 -8.911341  4.375988  -1.199475  -0.281340  -0.325486  0.902722  0.179014  0.581981  0.793254
170  1  0.50 5.744971  7.621592  -2.984400  -0.817567  0.551796  -0.164636  0.392485  0.063448  0.917567
171  1  0.50 2.207982  -0.379282  -9.745818  0.055214  -0.997155  0.051316  -0.412413  -0.909145  -0.058053
172  1  0.50 9.731632  -1.783168  1.454525  -0.151723  -0.021976  0.988179  0.158645  0.062028  -0.985385
173  1  0.50 -3.536492  -5.750297  7.377486  -0.676017  -0.387988  -0.626471  -0.613183  -0.453083  -0.647087
174  1  0.50 -5.793357  2.520684  -7.751333  0.592462  0.783338  -0.188070  0.346743  -0.784424  -0.514246
175  1  0.50 1.534231  -6.471903  7.467302  -0.949687  0.112237  0.292399  -0.512426  -0.698240  -0.499881
176  1  0.50 -7.011848  -6.875650  -1.886643  -0.619251  0.718446  -0.316802  -0.240536  0.477225  -0.845221
177  1  0.50 7.159122  5.360587  -4.473374  0.196528  -0.769525  -0.607625  -0.228343  0.785243  0.575546
178  1  0.50 7.682380  6.307657  1.092932  -0.368206  0.295724  0.881460  -0.296597  0.502007  -0.812416
179  1  0.50 -8.674958  0.402975  4.958096  -0.493663  0.052923  -0.868041  0.323997  -0.710535  0.624633
180  1  0.50 -7.560271  -0.306791  6.538210  0.487343  -0.693209  0.530997  0.147556  -0.981176  0.124583
181  1  0.50 -8.697771  -4.906997  0.519763  -0.306683  0.455053  -0.835985  -0.242179  0.516280  0.821464
182  1  0.50 1.630264  -9.668505  -1.965262  0.943797  0.094776  0.316647  0.142568  -0.174015  0.974368
183  1  0.50 4.046471  7.417979  5.347866  0.873310  -0.139984  -0.466620  -0.019582  0.591698  -0.805922
184  1  0.50 4.301253  -5.298329  -7.309373  -0.755433  -0.654543  0.029917  -0.261397  -0.848072  0.460919
185  1  0.50 4.700186  -1.107642  8.756791  0.416359  -0.846960  -0.330611  -0.685910  0.578570  0.441344
186  1  0.50 -9.755506  1.881899  1.135147  -0.187840  -0.445832  -0.875186  0.175430  0.977918  -0.113583
187  1  0.50 -7.832956  6.096661  1.214709  0.181501  0.411175  -0.893304  -0.052801  0.129446  -0.990180
188  1  0.50 5.785954  0.279237  8.151366  0.622315  -0.661133  -0.419080  -0.403662  0.878235  0.256440
189  1  0.50 2.118827  2.775428  -9.370569  -0.800906  0.598779  -0.003747  -0.242724  -0.913839  -0.325550
190  1  0.50 6.708409  -0.483124  7.400260  -0.450463  0.766148  0.458367  -0.019138  0.996416  0.082400
191  1  0.50 6.230725  7.504997  -2.202972  -0.204524  0.428180  0.880246  -0.732711  0.658608  0.171374
192  1  0.50 9.384576  2.297627  -2.578884  -0.237215  -0.113952  -0.964751  -0.252748  -0.052055  -0.966131
193  1  0.50 6.814694  -1.527884  -7.157200  -0.463913  0.666193  -0.583928  0.456484  0.853146  0.252514
194  1  0.50 -3.250896  -9.451668  0.312477  -0.505756  0.145845  -0.850259  0.557575  -0.164880  0.813588
195  1  0.50 -3.495181  3.206981  8.803351  -0.787464  0.408573  -0.461485  -0.656649  0.586373  -0.474319
196  1  0.50 -1.773414  -9.441992  -2.775571  -0.794377  0.303820  -0.525983  0.636674  0.104990  -0.763952
197  1  0.50 1.328372  -9.267657  -3.513682  -0.712996  0.156899  -0.683388  -0.806093  -0.307289  0.505755
198  1  0.50 -4.185916  -8.437093  3.360590  -0.365682  0.495299  0.788007  0.290271  0.226335  0.929793
199  1  0.50 -3.573990  -4.055969  8.412830  -0.734013  0.678958  0.015510  -0.731412  0.681700  0.017936
200  1  0.50 9.560149  1.352577  -2.602707  -0.293317  0.442903  -0.847232  -0.023309  -0.849493  -0.527084
201  1  0.50 8.262565  -1.668386  5.380195  0.377376  0.873051  -0.308819  -0.396958  0.505203  0.766286
202  1  0.50 -3.860449  -2.025553  -8.999670  0.320115  0.885556  -0.336627  -0.463281  0.886211  -0.000733
203  1  0.50 -9.162407  3.848481  1.113329  -0.084217  0.086668  -0.992671  -0.215920  -0.708443  0.671928
204  1  0.50 8.208702  -5.697825  0.389887  0.568820  0.821778  0.033535  0.161790  0.166529  -0.972673
205  1  0.50 -4.672804  -0.288724  -8.836376  -0.588721  -0.735489  0.335356  -0.254975  -0.952599  0.165960
206  1  0.50 -3.520596  -7.603252  5.458567  0.235564  0.492445  0.837859  0.747384  -0.579439  -0.325064
207  1  0.50 4.635901  7.256675  5.084200  0.319882  -0.672177  0.667722  -0.817568  0.571529  -0.070265
208  1  0.50 4.792882  6.153432  -6.258079  -0.477643  0.781081  0.402206  -0.752865  -0.078221  -0.653510
209  1  0.50 -0.448623  -7.362737  -6.751951  0.350255  0.621380  -0.700863  0.260558  -0.661106  0.703597
210  1  0.50 1.636798  4.213536  8.920034  0.005915  -0.904601  0.426219  -0.921799  -0.256773  0.290438
211  1  0.50 -4.691013  8.812181  0.582980  -0.436279  -0.288628  0.852264  0.880905  0.471589  -0.040126
212  1  0.50 2.921842  3.078147  -9.054714  -0.944500  -0.055779  -0.323740  0.863810  -0.491272  0.111733
213  1  0.50 -4.037056  -6.613850  -6.321327  -0.865244  0.051498  0.498699  0.289386  -0.747777  0.597567
214  1  0.50 0.311391  2.633399  9.642004  0.477805  -0.851229  0.217054  -0.991526  -0.113589  0.063045
215  1  0.50 9.011036  -3.399204  2.691959  -0.433576  -0.713464  0.550437  -0.337803  -0.939570  -0.055659
216  1  0.50 -1.607003  -5.788612  7.994343  -0.909724  0.401049  0.107525  -0.897445  0.422822  0.125758
217  1  0.50 5.285047  -6.221204  -5.776236  0.495709  0.778521  -0.384939  0.576263  0.762542  -0.294024
218  1  0.50 7.816073  -5.741881  2.437170  0.128976  -0.233507  -0.963763  0.208367  -0.127934  -0.969647
219  1  0.50 8.501533  2.407372  4.682787  -0.323197  -0.463511  0.825046  0.294830  0.519213  -0.802181
220  1  0.50 -7.606571  -2.738088  5.885826  -0.547795  -0.215754  -0.808314  -0.151471  -0.806800  -0.571078
221  1  0.50 2.024345  -6.345538  7.458966  -0.681516  -0.638250  -0.358014  -0.432544  0.625406  0.649441
222  1  0.50 -6.215147  -5.199406  5.859874  -0.017260  0.756909  0.653292  0.461451  0.361492  0.810177
223  1  0.50 6.082329  -6.714121  -4.233893  -0.423009  0.177165  -0.888637  0.525598  -0.059036  0.848683
224  1  0.50 7.676011  6.116185  -1.916024  -0.616962  0.786093  0.037621  0.437134  -0.280964  0.854385
225  1  0.50 5.394169  -8.096990  -2.311212  -0.666736  -0.243070  -0.704542  -0.812361  -0.428188  -0.395886
226  1  0.50 3.750593  8.908773  -2.562580  0.260190  -0.366494  -0.893299  -0.347897  -0.120960  -0.929697
227  1  0.50 5.027613  0.801105  -8.607052  -0.307355  -0.914065  -0.264611  -0.846819  0.245579  -0.471793
228  1  0.50 8.793293  4.580124  1.304020  0.075792  -0.404941  0.911196  -0.111707  -0.067808  0.991425
229  1  0.50 3.392378  -9.404427  0.220289  0.373520  0.156155  0.914384  -0.890676  -0.313575  0.329190
230  1  0.50 -4.564211  8.024926  -3.842985  -0.873395  -0.486547  0.021300  -0.319987  -0.551057  -0.770678
231  1  0.50 2.506049  1.045718  9.624250  0.148568  -0.986526  0.068505  -0.634880  -0.732759  0.244933
232  1  0.50 9.692900  -1.619054  -1.851042  -0.230084  -0.331305  -0.915040  0.223114  0.262399  0.938811
233  1  0.50 8.089277  5.776274  1.094650  -0.587790  0.790898  0.170243  0.466272  -0.743753  0.478979
234  1  0.50 -3.876665  8.919912  -2.325220  -0.106187  -0.293782  -0.949956  0.160298  -0.183170  -0.969924
235  1  0.50 -9.443390  1.917234  2.673312  0.223448  -0.222589  0.948960  0.064883  -0.688114  0.722696
236  1  0.50 3.935833  -3.974570  8.289271  -0.162407  0.857459  0.488250  0.549735  -0.620953  -0.558757
237  1  0.50 -5.318421  -1.318853  -8.365108  -0.562428  -0.683470  0.465341  0.807464  -0.376697  -0.453984
238  1  0.50 -7.358953  -6.551182  1.711089  0.591902  -0.499705  0.632414  0.358969  -0.163207  0.918970
239  1  0.50 -5.042339  7.680744  -3.947275  -0.855125  -0.380334  0.352289  0.730263  0.135271  -0.669640
