# Total of 3183 particles
# Generated on : 2014-02-21 16:50:10.433376
# id  type radius  x   y   z   vx   vy   vz   nx   ny   nz  omega
19  2  1.000000 -7.302859  -31.004432  0.000000  0.791803  0.610777  0.000000  -0.860551  -0.509365  0.000000  0.000000
20  2  1.000000 44.918033  -16.692077  0.000000  -0.545446  0.838146  0.000000  0.997266  0.073889  0.000000  0.000000
21  2  1.000000 38.485602  0.663900  0.000000  0.597559  -0.801825  0.000000  0.992261  -0.124169  0.000000  0.000000
22  2  1.000000 1.184669  30.676406  0.000000  -0.281407  0.959588  0.000000  -0.999995  -0.003273  0.000000  0.000000
23  2  1.000000 -23.016656  -34.479207  0.000000  -0.955803  -0.294009  0.000000  0.329426  0.944181  0.000000  0.000000
24  2  1.000000 30.876379  49.010860  0.000000  0.770004  -0.638039  0.000000  -0.379838  -0.925053  0.000000  0.000000
25  2  1.000000 12.140638  -15.101715  0.000000  -0.807328  0.590103  0.000000  -0.642353  0.766409  0.000000  0.000000
26  2  1.000000 42.400022  -30.943407  0.000000  -0.580844  0.814015  0.000000  0.695264  0.718754  0.000000  0.000000
27  2  1.000000 42.383489  21.664934  0.000000  -0.996747  0.080588  0.000000  -0.998308  -0.058146  0.000000  0.000000
28  2  1.000000 -41.111302  -31.358476  0.000000  0.857168  -0.515037  0.000000  -0.915989  -0.401203  0.000000  0.000000
29  2  1.000000 19.192050  49.470358  0.000000  -0.099744  -0.995013  0.000000  -0.329742  0.944071  0.000000  0.000000
30  2  1.000000 24.524176  41.481845  0.000000  0.481683  0.876346  0.000000  0.360718  -0.932675  0.000000  0.000000
31  2  1.000000 -26.295997  4.520383  0.000000  -0.942278  0.334833  0.000000  -0.832673  -0.553766  0.000000  0.000000
32  2  1.000000 6.422759  -22.509658  0.000000  -0.606778  -0.794871  0.000000  -0.996286  -0.086101  0.000000  0.000000
33  2  1.000000 6.199875  3.157855  0.000000  0.511424  -0.859329  0.000000  0.130828  0.991405  0.000000  0.000000
34  2  1.000000 9.709750  -39.720697  0.000000  -0.974560  -0.224127  0.000000  0.846869  -0.531802  0.000000  0.000000
35  2  1.000000 -32.294798  -16.046450  0.000000  -0.556728  -0.830695  0.000000  0.917126  0.398598  0.000000  0.000000
36  2  1.000000 -27.999687  -13.397556  0.000000  -0.984470  -0.175554  0.000000  -0.999499  -0.031665  0.000000  0.000000
37  2  1.000000 -4.694781  36.480516  0.000000  -0.946810  0.321792  0.000000  -0.918672  0.395020  0.000000  0.000000
38  2  1.000000 45.208007  46.532272  0.000000  0.055007  0.998486  0.000000  -1.000000  -0.000120  0.000000  0.000000
39  2  1.000000 -38.946948  12.167529  0.000000  -0.697494  0.716591  0.000000  -0.204012  0.978968  0.000000  0.000000
40  2  1.000000 -24.536663  21.750645  0.000000  0.021491  -0.999769  0.000000  0.939948  0.341317  0.000000  0.000000
41  2  1.000000 15.345442  -10.789908  0.000000  0.036459  -0.999335  0.000000  -0.599098  0.800675  0.000000  0.000000
42  2  1.000000 14.217558  2.079554  0.000000  0.334228  0.942492  0.000000  -0.957640  0.287967  0.000000  0.000000
43  2  1.000000 -29.580265  -0.802124  0.000000  0.901108  0.433595  0.000000  -0.981372  0.192120  0.000000  0.000000
44  2  1.000000 -4.667561  44.698966  0.000000  -0.241481  -0.970406  0.000000  0.288586  0.957454  0.000000  0.000000
45  2  1.000000 -37.334647  31.331088  0.000000  -0.957735  -0.287651  0.000000  -0.767529  -0.641014  0.000000  0.000000
46  2  1.000000 22.072217  21.383335  0.000000  0.015207  0.999884  0.000000  -0.165475  0.986214  0.000000  0.000000
47  2  1.000000 37.881425  -12.018089  0.000000  0.332192  0.943212  0.000000  0.204741  -0.978816  0.000000  0.000000
48  2  1.000000 5.869090  39.869191  0.000000  -0.333938  0.942595  0.000000  0.145015  0.989429  0.000000  0.000000
49  2  1.000000 -2.504536  37.162226  0.000000  -0.557384  0.830255  0.000000  0.493591  0.869694  0.000000  0.000000
50  2  1.000000 -2.927688  12.056498  0.000000  -0.991762  0.128097  0.000000  0.706412  -0.707801  0.000000  0.000000
51  2  1.000000 25.377117  26.105421  0.000000  -0.945560  0.325447  0.000000  0.450831  0.892609  0.000000  0.000000
52  2  1.000000 -18.018630  10.809482  0.000000  -0.557694  -0.830047  0.000000  0.040315  0.999187  0.000000  0.000000
53  2  1.000000 14.575243  -34.698596  0.000000  -0.078180  -0.996939  0.000000  0.836265  0.548325  0.000000  0.000000
54  2  1.000000 1.119246  12.056034  0.000000  -0.327410  0.944882  0.000000  -0.724476  0.689300  0.000000  0.000000
55  2  1.000000 -35.866293  -9.619461  0.000000  -0.998786  0.049250  0.000000  0.876840  0.480782  0.000000  0.000000
56  2  1.000000 1.292960  44.539022  0.000000  -0.887002  -0.461765  0.000000  -0.170243  -0.985402  0.000000  0.000000
57  2  1.000000 14.098008  34.473194  0.000000  0.113604  -0.993526  0.000000  -0.989451  -0.144868  0.000000  0.000000
58  2  1.000000 -44.069350  -36.452476  0.000000  0.382544  -0.923937  0.000000  0.950608  0.310395  0.000000  0.000000
59  2  1.000000 -17.168709  46.923162  0.000000  0.959828  0.280589  0.000000  -0.407922  0.913017  0.000000  0.000000
60  2  1.000000 -34.745478  35.712140  0.000000  -0.868044  -0.496487  0.000000  -0.456712  -0.889614  0.000000  0.000000
61  2  1.000000 -17.121306  -21.188785  0.000000  0.723579  0.690242  0.000000  0.987907  -0.155050  0.000000  0.000000
62  2  1.000000 46.024289  30.023363  0.000000  0.886428  0.462867  0.000000  0.847566  0.530691  0.000000  0.000000
63  2  1.000000 -9.808014  -0.093471  0.000000  -0.792395  -0.610008  0.000000  0.191771  -0.981440  0.000000  0.000000
64  2  1.000000 -27.120327  -15.653085  0.000000  -0.249046  0.968492  0.000000  -0.972188  0.234201  0.000000  0.000000
65  2  1.000000 -24.802465  12.839358  0.000000  0.917100  -0.398656  0.000000  0.439680  0.898154  0.000000  0.000000
66  2  1.000000 -3.530047  -27.195487  0.000000  -0.941444  -0.337168  0.000000  -0.714503  -0.699632  0.000000  0.000000
67  2  1.000000 -7.340733  15.837693  0.000000  0.828335  0.560234  0.000000  0.054716  -0.998502  0.000000  0.000000
68  2  1.000000 49.459335  28.250121  0.000000  0.799421  0.600771  0.000000  0.832245  -0.554408  0.000000  0.000000
69  2  1.000000 7.862356  -29.611243  0.000000  0.643716  0.765265  0.000000  0.823026  -0.568004  0.000000  0.000000
70  2  1.000000 -25.801068  -4.978290  0.000000  -0.015777  -0.999876  0.000000  -0.625906  -0.779899  0.000000  0.000000
71  2  1.000000 -13.288590  44.143215  0.000000  0.363821  -0.931469  0.000000  -0.704960  -0.709247  0.000000  0.000000
72  2  1.000000 13.306896  16.505002  0.000000  -0.568147  0.822927  0.000000  -0.808763  0.588135  0.000000  0.000000
73  2  1.000000 -49.286709  31.794306  0.000000  0.426221  0.904619  0.000000  0.974565  0.224103  0.000000  0.000000
74  2  1.000000 -16.530030  -31.528460  0.000000  0.897046  0.441937  0.000000  0.671112  0.741356  0.000000  0.000000
75  2  1.000000 -26.932478  -11.780107  0.000000  0.496058  0.868289  0.000000  -0.483480  0.875355  0.000000  0.000000
76  2  1.000000 -2.241546  -4.106471  0.000000  -0.630657  0.776062  0.000000  0.999689  0.024944  0.000000  0.000000
77  2  1.000000 31.346145  -30.952284  0.000000  -0.997267  -0.073881  0.000000  0.997631  -0.068795  0.000000  0.000000
78  2  1.000000 8.619190  -7.651057  0.000000  -0.271705  0.962381  0.000000  0.660851  0.750517  0.000000  0.000000
79  2  1.000000 -28.233550  -6.719044  0.000000  -0.907601  -0.419833  0.000000  -0.702843  0.711345  0.000000  0.000000
80  2  1.000000 -29.261937  -8.303820  0.000000  0.961646  0.274293  0.000000  -0.110853  0.993837  0.000000  0.000000
81  2  1.000000 6.701289  39.434146  0.000000  -0.961200  0.275851  0.000000  0.149352  -0.988784  0.000000  0.000000
82  2  1.000000 27.726736  41.697783  0.000000  0.944850  0.327503  0.000000  0.267413  0.963582  0.000000  0.000000
83  2  1.000000 33.644440  21.167233  0.000000  -0.145107  -0.989416  0.000000  -0.925800  -0.378014  0.000000  0.000000
84  2  1.000000 -2.159638  34.298683  0.000000  -0.369736  0.929137  0.000000  0.957272  -0.289189  0.000000  0.000000
85  2  1.000000 -36.659615  43.769416  0.000000  0.141641  0.989918  0.000000  -0.620632  0.784102  0.000000  0.000000
86  2  1.000000 -23.372814  -47.481464  0.000000  -0.511120  0.859510  0.000000  -0.119801  -0.992798  0.000000  0.000000
87  2  1.000000 43.126555  0.937023  0.000000  -0.323448  0.946246  0.000000  -0.559807  -0.828623  0.000000  0.000000
88  2  1.000000 -40.126583  -38.536858  0.000000  0.990735  -0.135811  0.000000  0.389012  0.921233  0.000000  0.000000
89  2  1.000000 20.956920  31.884991  0.000000  -0.225429  0.974260  0.000000  0.550712  0.834696  0.000000  0.000000
90  2  1.000000 4.668013  9.145023  0.000000  -0.996448  -0.084214  0.000000  0.484967  0.874532  0.000000  0.000000
91  2  1.000000 -11.161831  3.477969  0.000000  0.586896  -0.809662  0.000000  0.260543  0.965462  0.000000  0.000000
92  2  1.000000 -4.005407  -49.629832  0.000000  -0.870801  -0.491635  0.000000  -0.715338  -0.698778  0.000000  0.000000
93  2  1.000000 4.381077  30.253484  0.000000  0.935913  0.352232  0.000000  0.940434  0.339978  0.000000  0.000000
94  2  1.000000 5.940731  42.033655  0.000000  -0.993476  -0.114040  0.000000  -0.381505  -0.924367  0.000000  0.000000
95  2  1.000000 -44.947485  24.654220  0.000000  -0.776763  -0.629793  0.000000  0.238494  -0.971144  0.000000  0.000000
96  2  1.000000 -25.977990  46.722929  0.000000  -0.938287  0.345858  0.000000  -0.880618  0.473826  0.000000  0.000000
97  2  1.000000 40.254553  47.240026  0.000000  -0.821741  0.569861  0.000000  -0.712629  0.701541  0.000000  0.000000
98  2  1.000000 2.886530  23.844169  0.000000  -0.998907  0.046753  0.000000  -0.057991  -0.998317  0.000000  0.000000
99  2  1.000000 49.638613  38.019117  0.000000  -0.818013  -0.575200  0.000000  0.806177  0.591674  0.000000  0.000000
100 2  1.000000 -49.784861  -28.186094  0.000000  0.842416  0.538827  0.000000  0.998770  -0.049577  0.000000  0.000000
101 2  1.000000 -12.366098  -45.275706  0.000000  -0.486109  0.873898  0.000000  0.998994  0.044853  0.000000  0.000000
102 2  1.000000 -47.078608  -41.125718  0.000000  0.298789  0.954319  0.000000  0.986233  -0.165361  0.000000  0.000000
103 2  1.000000 42.327179  33.220696  0.000000  -0.985217  0.171310  0.000000  0.580213  -0.814464  0.000000  0.000000
104 2  1.000000 -13.180378  11.025691  0.000000  -0.957629  0.288005  0.000000  0.300689  0.953722  0.000000  0.000000
105 2  1.000000 45.315221  34.235041  0.000000  -0.950455  0.310861  0.000000  0.357428  -0.933941  0.000000  0.000000
106 2  1.000000 -43.492983  -1.226572  0.000000  -0.324758  -0.945797  0.000000  0.886575  -0.462584  0.000000  0.000000
107 2  1.000000 43.830191  40.105327  0.000000  0.941726  0.336380  0.000000  0.226343  0.974048  0.000000  0.000000
108 2  1.000000 6.551761  -33.248601  0.000000  -0.926575  -0.376109  0.000000  0.057445  0.998349  0.000000  0.000000
109 2  1.000000 45.746061  -45.251477  0.000000  0.814169  0.580628  0.000000  -0.941750  -0.336315  0.000000  0.000000
110 2  1.000000 16.889876  -5.222087  0.000000  0.154354  0.988016  0.000000  -0.174348  -0.984684  0.000000  0.000000
111 2  1.000000 -11.885568  49.407177  0.000000  0.969579  -0.244777  0.000000  -0.468369  -0.883533  0.000000  0.000000
112 2  1.000000 49.751769  35.775763  0.000000  -0.424364  0.905492  0.000000  -0.234156  0.972199  0.000000  0.000000
113 2  1.000000 34.778685  42.781178  0.000000  -0.253290  -0.967390  0.000000  -0.141863  -0.989886  0.000000  0.000000
114 2  1.000000 30.445949  -24.941158  0.000000  0.762306  -0.647216  0.000000  -0.503514  0.863987  0.000000  0.000000
115 2  1.000000 -24.574827  10.299110  0.000000  -0.249318  -0.968422  0.000000  0.899990  0.435911  0.000000  0.000000
116 2  1.000000 -34.101711  -1.047032  0.000000  0.785642  0.618682  0.000000  0.568377  -0.822768  0.000000  0.000000
117 2  1.000000 -41.831224  39.430839  0.000000  0.136884  0.990587  0.000000  -0.166008  0.986124  0.000000  0.000000
118 2  1.000000 -1.050712  24.944751  0.000000  0.924327  0.381602  0.000000  -0.203390  0.979098  0.000000  0.000000
119 2  1.000000 17.648827  -8.303345  0.000000  -0.035922  -0.999355  0.000000  -0.608274  -0.793727  0.000000  0.000000
120 2  1.000000 0.731944  -8.395070  0.000000  -0.965444  -0.260610  0.000000  -0.349373  -0.936984  0.000000  0.000000
121 2  1.000000 4.067834  6.762145  0.000000  0.279513  0.960142  0.000000  0.969410  0.245446  0.000000  0.000000
122 2  1.000000 18.142744  46.862559  0.000000  0.731785  -0.681536  0.000000  -0.794908  -0.606730  0.000000  0.000000
123 2  1.000000 39.245028  -19.175647  0.000000  -0.989174  0.146749  0.000000  -0.997277  -0.073749  0.000000  0.000000
124 2  1.000000 -5.077036  -18.133136  0.000000  -0.986652  -0.162845  0.000000  -0.123971  -0.992286  0.000000  0.000000
125 2  1.000000 22.804578  14.611189  0.000000  0.142851  -0.989744  0.000000  0.715791  0.698315  0.000000  0.000000
126 2  1.000000 -4.824832  -4.756612  0.000000  0.587982  -0.808874  0.000000  -0.021384  -0.999771  0.000000  0.000000
127 2  1.000000 -0.004062  -23.991771  0.000000  -0.435787  0.900050  0.000000  -0.547767  -0.836631  0.000000  0.000000
128 2  1.000000 -18.927263  9.096389  0.000000  -0.999246  0.038833  0.000000  0.481661  0.876358  0.000000  0.000000
129 2  1.000000 -14.530148  -10.834009  0.000000  0.990224  -0.139489  0.000000  0.721322  -0.692600  0.000000  0.000000
130 2  1.000000 -17.380782  -1.798736  0.000000  -0.995733  0.092277  0.000000  0.044154  0.999025  0.000000  0.000000
131 2  1.000000 9.057224  19.231370  0.000000  0.928090  0.372356  0.000000  -0.966246  0.257623  0.000000  0.000000
132 2  1.000000 30.050858  6.089798  0.000000  -0.964301  -0.264807  0.000000  0.448578  0.893744  0.000000  0.000000
133 2  1.000000 6.174192  6.304841  0.000000  -0.728719  0.684812  0.000000  0.712438  -0.701735  0.000000  0.000000
134 2  1.000000 -8.532926  -22.743661  0.000000  0.984786  0.173771  0.000000  -0.869707  -0.493569  0.000000  0.000000
135 2  1.000000 -31.645343  -10.252471  0.000000  0.521459  0.853276  0.000000  0.508764  -0.860906  0.000000  0.000000
136 2  1.000000 -18.231936  -41.368451  0.000000  0.385788  0.922587  0.000000  0.307427  -0.951572  0.000000  0.000000
137 2  1.000000 -40.860404  43.825012  0.000000  0.964477  -0.264167  0.000000  0.644957  -0.764219  0.000000  0.000000
138 2  1.000000 45.997951  16.831262  0.000000  0.499157  0.866511  0.000000  0.879032  0.476764  0.000000  0.000000
139 2  1.000000 32.868122  -12.879984  0.000000  -0.946974  -0.321311  0.000000  -0.786928  0.617045  0.000000  0.000000
140 2  1.000000 -35.809768  -49.463955  0.000000  0.193626  0.981075  0.000000  -0.671405  0.741091  0.000000  0.000000
141 2  1.000000 -5.785317  43.871598  0.000000  0.046480  -0.998919  0.000000  -0.217065  -0.976157  0.000000  0.000000
142 2  1.000000 29.876541  -30.199201  0.000000  -0.481453  0.876472  0.000000  0.920013  -0.391889  0.000000  0.000000
143 2  1.000000 25.347194  -21.319934  0.000000  0.253912  0.967227  0.000000  0.959332  -0.282280  0.000000  0.000000
144 2  1.000000 -49.164383  27.766188  0.000000  -0.255972  0.966684  0.000000  -0.815154  0.579244  0.000000  0.000000
145 2  1.000000 -48.948092  -37.835437  0.000000  -0.262391  0.964962  0.000000  -0.991470  0.130337  0.000000  0.000000
146 2  1.000000 1.444931  12.865861  0.000000  -0.789151  -0.614199  0.000000  0.756094  -0.654463  0.000000  0.000000
147 2  1.000000 -0.367586  37.460676  0.000000  0.006846  -0.999977  0.000000  -0.979586  -0.201028  0.000000  0.000000
148 2  1.000000 -36.004024  5.204842  0.000000  0.375361  -0.926879  0.000000  0.546290  -0.837596  0.000000  0.000000
149 2  1.000000 43.396892  -7.130742  0.000000  -0.364190  -0.931325  0.000000  -0.407763  0.913088  0.000000  0.000000
150  1  1.000000 32.018079  30.581059  0.000000  0.999137  0.041528  0.000000  -0.004288  0.999991  0.000000  0.000000
151  1  1.000000 26.648562  7.990224  0.000000  0.665337  0.746543  0.000000  -0.507266  -0.861789  0.000000  0.000000
152  1  1.000000 20.792423  10.208299  0.000000  0.049976  0.998750  0.000000  -0.985851  -0.167625  0.000000  0.000000
153  1  1.000000 -46.355074  -46.640868  0.000000  0.361084  0.932533  0.000000  -0.513244  -0.858243  0.000000  0.000000
154  1  1.000000 37.789405  -23.558596  0.000000  -0.838122  -0.545482  0.000000  -0.479686  0.877440  0.000000  0.000000
155  1  1.000000 3.223039  -21.130777  0.000000  0.991811  -0.127712  0.000000  -0.163811  0.986492  0.000000  0.000000
156  1  1.000000 -37.867645  49.892162  0.000000  0.216305  -0.976326  0.000000  0.114627  0.993409  0.000000  0.000000
157  1  1.000000 -1.847303  14.422300  0.000000  -0.821862  -0.569687  0.000000  0.535829  -0.844327  0.000000  0.000000
158  1  1.000000 -27.426711  -49.368917  0.000000  0.732654  -0.680601  0.000000  0.484677  -0.874693  0.000000  0.000000
159  1  1.000000 -13.747648  10.904618  0.000000  0.959416  -0.281994  0.000000  -0.616623  0.787258  0.000000  0.000000
160  1  1.000000 -48.525133  46.099825  0.000000  0.072582  -0.997362  0.000000  0.943636  0.330984  0.000000  0.000000
161  1  1.000000 21.775570  17.903077  0.000000  0.577012  -0.816735  0.000000  0.904117  0.427285  0.000000  0.000000
162  1  1.000000 29.277270  -41.294039  0.000000  0.983825  0.179130  0.000000  0.141001  0.990009  0.000000  0.000000
163  1  1.000000 28.320442  45.331276  0.000000  -0.981881  -0.189498  0.000000  0.832514  -0.554004  0.000000  0.000000
164  1  1.000000 -16.130823  13.665801  0.000000  -0.968879  0.247534  0.000000  -0.960983  -0.276609  0.000000  0.000000
165  1  1.000000 30.711844  31.232377  0.000000  -0.898457  0.439061  0.000000  -0.834163  0.551518  0.000000  0.000000
166  1  1.000000 -30.268491  28.362331  0.000000  0.975487  -0.220057  0.000000  -0.139682  -0.990196  0.000000  0.000000
167  1  1.000000 30.169402  -4.920122  0.000000  0.713560  -0.700594  0.000000  -0.485993  0.873963  0.000000  0.000000
168  1  1.000000 -11.904946  -21.943363  0.000000  0.322326  -0.946629  0.000000  0.987428  -0.158069  0.000000  0.000000
169  1  1.000000 14.271057  -42.639234  0.000000  -0.846532  -0.532338  0.000000  0.759328  0.650708  0.000000  0.000000
170  1  1.000000 -8.063319  -3.643698  0.000000  0.861121  -0.508401  0.000000  0.598953  0.800784  0.000000  0.000000
171  1  1.000000 -44.177453  33.986094  0.000000  0.766938  -0.641721  0.000000  -0.919708  0.392603  0.000000  0.000000
172  1  1.000000 38.638971  -31.237738  0.000000  -0.997614  0.069046  0.000000  -0.861856  -0.507154  0.000000  0.000000
173  1  1.000000 -21.565652  -11.220671  0.000000  -0.587474  0.809243  0.000000  -0.046391  -0.998923  0.000000  0.000000
174  1  1.000000 -5.864966  -33.081340  0.000000  0.821431  -0.570307  0.000000  0.546564  -0.837417  0.000000  0.000000
175  1  1.000000 -9.287060  -35.955369  0.000000  -0.898539  -0.438893  0.000000  -0.671187  -0.741288  0.000000  0.000000
176  1  1.000000 32.091216  -24.079030  0.000000  -0.761826  0.647782  0.000000  -0.637665  -0.770314  0.000000  0.000000
177  1  1.000000 10.165582  10.391767  0.000000  0.972071  0.234686  0.000000  0.490792  -0.871277  0.000000  0.000000
178  1  1.000000 22.238498  9.694829  0.000000  -0.834689  0.550722  0.000000  -0.309000  0.951062  0.000000  0.000000
179  1  1.000000 -17.057127  47.403382  0.000000  0.355034  -0.934853  0.000000  -0.184212  0.982887  0.000000  0.000000
180  1  1.000000 21.096375  -48.329559  0.000000  -0.840170  -0.542324  0.000000  0.717406  0.696656  0.000000  0.000000
181  1  1.000000 -42.748663  -37.011158  0.000000  -0.907815  0.419370  0.000000  -0.261993  0.965070  0.000000  0.000000
182  1  1.000000 -48.559326  11.389514  0.000000  -0.978149  0.207905  0.000000  0.390825  0.920465  0.000000  0.000000
183  1  1.000000 -26.600948  19.589022  0.000000  -0.739728  0.672906  0.000000  -0.986760  -0.162184  0.000000  0.000000
184  1  1.000000 16.350499  44.342026  0.000000  -0.999923  -0.012407  0.000000  0.812289  -0.583255  0.000000  0.000000
185  1  1.000000 -25.148426  19.106698  0.000000  -0.672124  -0.740439  0.000000  0.455998  -0.889981  0.000000  0.000000
186  1  1.000000 5.023049  -47.919126  0.000000  -0.999912  -0.013246  0.000000  -0.998655  -0.051849  0.000000  0.000000
187  1  1.000000 21.675440  -42.867140  0.000000  -0.931201  0.364507  0.000000  0.129227  -0.991615  0.000000  0.000000
188  1  1.000000 14.096637  -30.861861  0.000000  -0.011198  0.999937  0.000000  -0.999926  -0.012131  0.000000  0.000000
189  1  1.000000 -27.462043  -6.768583  0.000000  0.997337  0.072932  0.000000  0.376407  0.926454  0.000000  0.000000
190  1  1.000000 40.836689  -18.903397  0.000000  0.634184  -0.773183  0.000000  0.621291  -0.783580  0.000000  0.000000
191  1  1.000000 6.069318  26.949118  0.000000  0.629639  0.776888  0.000000  0.952569  -0.304322  0.000000  0.000000
192  1  1.000000 -19.234963  22.752187  0.000000  -0.184353  -0.982860  0.000000  -0.904402  0.426681  0.000000  0.000000
193  1  1.000000 -45.405222  3.945946  0.000000  -0.418077  0.908412  0.000000  -0.203831  -0.979006  0.000000  0.000000
194  1  1.000000 -4.038272  -24.231385  0.000000  0.318575  0.947898  0.000000  -0.579705  -0.814826  0.000000  0.000000
195  1  1.000000 -11.768425  -42.222557  0.000000  0.264066  -0.964505  0.000000  0.850905  0.525320  0.000000  0.000000
196  1  1.000000 21.724864  31.619424  0.000000  0.997821  0.065980  0.000000  -0.165871  0.986147  0.000000  0.000000
197  2  1.000000 -36.688752  -27.837717  0.000000  0.038549  -0.999257  0.000000  0.340083  0.940395  0.000000  0.000000
198  2  1.000000 17.371780  29.105785  0.000000  0.999189  -0.040272  0.000000  -0.566063  0.824362  0.000000  0.000000
199  2  1.000000 -19.578576  -2.546643  0.000000  0.994813  -0.101718  0.000000  -0.129706  -0.991553  0.000000  0.000000
200  2  1.000000 -11.409770  5.388126  0.000000  0.718857  -0.695158  0.000000  0.883800  0.467864  0.000000  0.000000
201  2  1.000000 47.485206  7.582730  0.000000  -0.987607  0.156949  0.000000  0.254525  0.967066  0.000000  0.000000
202  2  1.000000 -49.544197  49.250897  0.000000  -0.982576  -0.185861  0.000000  -0.995585  -0.093868  0.000000  0.000000
203  2  1.000000 47.012272  16.061262  0.000000  -0.968275  -0.249888  0.000000  -0.619824  -0.784741  0.000000  0.000000
204  2  1.000000 16.637430  -27.174097  0.000000  0.055388  -0.998465  0.000000  0.785403  0.618984  0.000000  0.000000
205  2  1.000000 -46.684099  -21.584670  0.000000  0.953818  -0.300384  0.000000  0.684037  -0.729447  0.000000  0.000000
206  2  1.000000 -2.039749  5.111792  0.000000  -0.801603  0.597857  0.000000  0.585700  -0.810528  0.000000  0.000000
207  2  1.000000 -38.995934  -48.837408  0.000000  -0.988361  -0.152128  0.000000  0.569861  -0.821741  0.000000  0.000000
208  2  1.000000 -7.681545  -21.844439  0.000000  0.723856  0.689951  0.000000  0.962688  -0.270614  0.000000  0.000000
209  2  1.000000 49.729125  -15.539403  0.000000  0.940200  -0.340624  0.000000  0.988648  -0.150248  0.000000  0.000000
210  2  1.000000 48.215263  0.519859  0.000000  0.310828  -0.950466  0.000000  0.968967  -0.247189  0.000000  0.000000
211  2  1.000000 -32.199989  38.544389  0.000000  -0.514338  0.857588  0.000000  0.683899  0.729576  0.000000  0.000000
212  2  1.000000 8.418581  35.129551  0.000000  0.933637  0.358221  0.000000  0.627419  0.778682  0.000000  0.000000
213  2  1.000000 2.891251  15.030098  0.000000  -0.603592  0.797293  0.000000  0.586112  -0.810230  0.000000  0.000000
214  2  1.000000 33.567131  11.141552  0.000000  0.200554  0.979683  0.000000  -0.085967  -0.996298  0.000000  0.000000
215  2  1.000000 -0.444369  12.314724  0.000000  -0.154411  0.988007  0.000000  0.771036  0.636792  0.000000  0.000000
216  2  1.000000 46.812990  3.197495  0.000000  -0.159093  0.987264  0.000000  0.754969  0.655761  0.000000  0.000000
217  2  1.000000 42.152446  -14.328301  0.000000  -0.741049  0.671451  0.000000  0.972640  0.232316  0.000000  0.000000
218  2  1.000000 -11.985633  -28.632239  0.000000  0.532047  -0.846715  0.000000  0.833853  -0.551986  0.000000  0.000000
219  2  1.000000 -3.663566  16.848473  0.000000  0.853887  0.520458  0.000000  0.683501  -0.729949  0.000000  0.000000
220  2  1.000000 10.276697  -43.086291  0.000000  0.828226  -0.560394  0.000000  -0.500158  -0.865934  0.000000  0.000000
221  2  1.000000 33.228911  33.133493  0.000000  -0.761676  0.647959  0.000000  0.565431  0.824795  0.000000  0.000000
222  2  1.000000 25.239550  9.983149  0.000000  -0.667874  -0.744274  0.000000  -0.995174  0.098124  0.000000  0.000000
